 producto | presentacion | marca | categoria | catalogo | precio | fecharegistro | cadenacomercial | giro | nombrecomercial | direccion | estado | municipio | latitud | longitud 
 cuaderno forma italiana | 96 hojas pasta dura cuadricula chica | estrella | material escolar | utiles escolares |259| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 crayones | caja 12 ceras jumbo cb 201423 | crayola | material escolar | utiles escolares |275| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 crayones | caja 12 ceras tamano regular cb 201034 | crayola | material escolar | utiles escolares |139| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 colores de madera | caja 12 piezas largo triangular cb 640646 | pincelin | material escolar | utiles escolares |469| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 color largo | caja 36 piezas con sacapuntas 68-4036 | crayola | material escolar | utiles escolares |115| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 boligrafo | blister 3 piezas punto fino gel | bic cristal gel | material escolar | utiles escolares |325| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 cinta adhesiva | bolsa 1 pieza 12 mm x 33 m cb 100317 | scotch 3m 600 | material escolar | utiles escolares |9| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 colores de madera | caja 24 piezas largo gratis 1 sacapuntas cb 44584 | kores kolores | material escolar | utiles escolares |959| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 crayones | caja 24 ceras tamano regular cb 608394 | paper mate carmen | material escolar | utiles escolares |232| 2011-05-18 00:00:00000 | abastecedora lumen | papelerias | abastecedora lumen sucursal villa coapa | cannes no 6 esq canal de miramontes | distrito federal | tlalpan                                  |1929699|-99125417
 pan blanco bolillo | pieza | s/m | pan | basicos |12| 2011-01-10 00:00:00000 | comercial mexicana | tienda de autoservicio | comercial mexicana sucursal villas de la hacienda | av lago de guadalupe s/n esq de las villas | mexico | atizapan                                 |na|na
 harina hot cakes | caja 800 gr | pronto tradicionales | galletas pastas y harinas de trigo | basicos |2163| 2011-01-10 00:00:00000 | comercial mexicana | tienda de autoservicio | comercial mexicana sucursal villas de la hacienda | av lago de guadalupe s/n esq de las villas | mexico | atizapan                                 |na|na
